From,To,Est,SD,Year
clayton county,cobb county,1836,342.887653198238,2010
clayton county,fulton county,4324,497.308688503827,2010
clayton county,dekalb county,2828,469.342674235886,2010
clayton county,gwinnett county,902,244.398646428531,2010
clayton county,henry county,4097,570.26350833324,2010
clayton county,douglas county,529,213.392848001031,2010
clayton county,forsyth county,20,13.3750503020589,2010
clayton county,fayette county,1037,235.279293949855,2010
clayton county,cherokee county,194,85.7219132995595,2010
clayton county,rockdale county,385,138.614157675883,2010
clayton county,outside,9212,654.548754765854,2010
cobb county,clayton county,548,140.438028171619,2010
cobb county,fulton county,6331,519.803091284563,2010
cobb county,dekalb county,2736,383.620760936326,2010
cobb county,gwinnett county,2041,306.410243283532,2010
cobb county,henry county,259,134.358459852501,2010
cobb county,douglas county,3150,464.479019580592,2010
cobb county,forsyth county,465,158.676733128972,2010
cobb county,fayette county,0,0,2010
cobb county,cherokee county,4187,488.797292857063,2010
cobb county,rockdale county,68,37.0853667466179,2010
cobb county,outside,30212,1237.99941159825,2010
fulton county,clayton county,7874,798.247320300153,2010
fulton county,cobb county,9213,604.309090920299,2010
fulton county,dekalb county,19713,1252.39107373825,2010
fulton county,gwinnett county,4652,536.825882578092,2010
fulton county,henry county,1146,304.586372787797,2010
fulton county,douglas county,1153,258.381653562502,2010
fulton county,forsyth county,2009,262.637351385884,2010
fulton county,fayette county,1042,200.017797698972,2010
fulton county,cherokee county,1769,276.620358519855,2010
fulton county,rockdale county,413,164.148344616178,2010
fulton county,outside,53015,1470.15942089708,2010
dekalb county,clayton county,2521,376.325278953385,2010
dekalb county,cobb county,3683,502.172343159122,2010
dekalb county,fulton county,12473,713.741320664417,2010
dekalb county,gwinnett county,10194,855.39526249986,2010
dekalb county,henry county,1541,288.171538326179,2010
dekalb county,douglas county,1158,407.331077380885,2010
dekalb county,forsyth county,656,172.051783431031,2010
dekalb county,fayette county,345,100.312877265442,2010
dekalb county,cherokee county,338,111.256100239854,2010
dekalb county,rockdale county,1952,308.842070611179,2010
dekalb county,outside,27029,1091.70055171331,2010
gwinnett county,clayton county,678,175.09156759059,2010
gwinnett county,cobb county,2143,286.347667830443,2010
gwinnett county,fulton county,5421,452.927839774268,2010
gwinnett county,dekalb county,6558,690.63896105177,2010
gwinnett county,henry county,846,222.512200479708,2010
gwinnett county,douglas county,546,209.74510700956,2010
gwinnett county,forsyth county,1556,255.341869402943,2010
gwinnett county,fayette county,323,128.278891533383,2010
gwinnett county,cherokee county,573,173.267697094854,2010
gwinnett county,rockdale county,509,258.989610394414,2010
gwinnett county,outside,31906,1372.55178620065,2010
henry county,clayton county,1959,378.149149449121,2010
henry county,cobb county,812,171.443826599119,2010
henry county,fulton county,876,191.506402052207,2010
henry county,dekalb county,1135,291.819279317649,2010
henry county,gwinnett county,52,21.2784891169119,2010
henry county,douglas county,199,110.648143407942,2010
henry county,forsyth county,227,125.847064205736,2010
henry county,fayette county,333,129.494805197207,2010
henry county,cherokee county,190,134.358459852501,2010
henry county,rockdale county,160,78.4264313166183,2010
henry county,outside,8309,652.026545584696,2010
douglas county,clayton county,204,96.0571794420596,2010
douglas county,cobb county,1910,436.51300531265,2010
douglas county,fulton county,867,179.347265413972,2010
douglas county,dekalb county,505,252.302085243384,2010
douglas county,gwinnett county,264,175.699524422501,2010
douglas county,henry county,138,103.960618256913,2010
douglas county,forsyth county,14,13.9830071339707,2010
douglas county,fayette county,17,17.0227912935295,2010
douglas county,cherokee county,65,38.9092372423532,2010
douglas county,rockdale county,0,0,2010
douglas county,outside,6914,642.515460937484,2010
forsyth county,clayton county,0,0,2010
forsyth county,cobb county,301,117.943625390883,2010
forsyth county,fulton county,1145,237.711121277502,2010
forsyth county,dekalb county,251,79.6423449804418,2010
forsyth county,gwinnett county,911,185.42683373309,2010
forsyth county,henry county,39,27.9660142679414,2010
forsyth county,douglas county,0,0,2010
forsyth county,fayette county,32,21.2784891169119,2010
forsyth county,cherokee county,179,52.8922443763239,2010
forsyth county,rockdale county,0,0,2010
forsyth county,outside,6504,559.050604706009,2010
fayette county,clayton county,529,212.176934337208,2010
fayette county,cobb county,309,116.119754895148,2010
fayette county,fulton county,1116,269.324876536914,2010
fayette county,dekalb county,342,124.023193710001,2010
fayette county,gwinnett county,87,54.1081580401475,2010
fayette county,henry county,256,123.415236878089,2010
fayette county,douglas county,18,16.4148344616178,2010
fayette county,forsyth county,67,69.9150356698535,2010
fayette county,cherokee county,27,19.4546186211766,2010
fayette county,rockdale county,0,0,2010
fayette county,outside,6569,585.880210932702,2010
cherokee county,clayton county,129,74.1707334932359,2010
cherokee county,cobb county,2991,407.331077380885,2010
cherokee county,fulton county,838,162.324474120442,2010
cherokee county,dekalb county,327,105.784488752648,2010
cherokee county,gwinnett county,255,86.3298701314713,2010
cherokee county,henry county,0,0,2010
cherokee county,douglas county,64,48.6365465529416,2010
cherokee county,forsyth county,279,112.472013903677,2010
cherokee county,fayette county,35,36.4774099147062,2010
cherokee county,rockdale county,0,0,2010
cherokee county,outside,7266,602.555152873323,2010
rockdale county,clayton county,175,67.4832083422064,2010
rockdale county,cobb county,260,113.079970735589,2010
rockdale county,fulton county,187,63.8354673507358,2010
rockdale county,dekalb county,904,244.398646428531,2010
rockdale county,gwinnett county,930,235.887250781767,2010
rockdale county,henry county,126,54.7161148720593,2010
rockdale county,douglas county,116,84.505999635736,2010
rockdale county,forsyth county,0,0,2010
rockdale county,fayette county,88,66.8752515102946,2010
rockdale county,cherokee county,19,18.8466617892649,2010
rockdale county,outside,6763,826.00081312559,2010
