"","From","To","toFulton","outFulton","Year"
"1","clayton county","fulton county",91718,NA,2010
"2","clayton county","fulton county",87000,NA,2011
"3","clayton county","fulton county",88328,NA,2012
"4","clayton county","fulton county",87413,NA,2013
"5","clayton county","fulton county",88847,NA,2014
"6","clayton county","fulton county",87936,NA,2015
"7","clayton county","fulton county",92762,NA,2016
"8","clayton county","fulton county",92669,NA,2017
"9","clayton county","fulton county",95663,NA,2018
"10","clayton county","fulton county",95711,NA,2019
"11","clayton county","fulton county",99868,NA,2020
"12","fulton county","clayton county",NA,101999,2010
"13","fulton county","clayton county",NA,99634,2011
"14","fulton county","clayton county",NA,95635,2012
"15","fulton county","clayton county",NA,95679,2013
"16","fulton county","clayton county",NA,95916,2014
"17","fulton county","clayton county",NA,97267,2015
"18","fulton county","clayton county",NA,95822,2016
"19","fulton county","clayton county",NA,97603,2017
"20","fulton county","clayton county",NA,97964,2018
"21","fulton county","clayton county",NA,96723,2019
"22","fulton county","clayton county",NA,97640,2020
