"","From","To","toGwinnett","outGwinnett","Year"
"1","clayton county","gwinnett county",61328,NA,2010
"2","clayton county","gwinnett county",56378,NA,2011
"3","clayton county","gwinnett county",53835,NA,2012
"4","clayton county","gwinnett county",52782,NA,2013
"5","clayton county","gwinnett county",50770,NA,2014
"6","clayton county","gwinnett county",53423,NA,2015
"7","clayton county","gwinnett county",57441,NA,2016
"8","clayton county","gwinnett county",56279,NA,2017
"9","clayton county","gwinnett county",57834,NA,2018
"10","clayton county","gwinnett county",60074,NA,2019
"11","clayton county","gwinnett county",56975,NA,2020
"12","gwinnett county","clayton county",NA,51059,2010
"13","gwinnett county","clayton county",NA,50198,2011
"14","gwinnett county","clayton county",NA,50557,2012
"15","gwinnett county","clayton county",NA,49806,2013
"16","gwinnett county","clayton county",NA,48342,2014
"17","gwinnett county","clayton county",NA,50022,2015
"18","gwinnett county","clayton county",NA,49582,2016
"19","gwinnett county","clayton county",NA,50738,2017
"20","gwinnett county","clayton county",NA,52121,2018
"21","gwinnett county","clayton county",NA,54173,2019
"22","gwinnett county","clayton county",NA,54093,2020
