,year,county,variable,data,change,total
1,2010,Clayton,Foreign Born Entry,39693,,
2,2011,Clayton,Foreign Born Entry,42110,2417,-8243
3,2012,Clayton,Foreign Born Entry,39697,-2413,13890
4,2013,Clayton,Foreign Born Entry,38623,-1074,13433
5,2014,Clayton,Foreign Born Entry,39740,1117,1271
6,2015,Clayton,Foreign Born Entry,37409,-2331,34527
7,2016,Clayton,Foreign Born Entry,38118,709,1372
8,2017,Clayton,Foreign Born Entry,34203,-3915,17195
9,2018,Clayton,Foreign Born Entry,36714,2511,1681
10,2019,Clayton,Foreign Born Entry,41566,4852,12248
11,2020,Clayton,Foreign Born Entry,37274,-4292,-21205
12,2021,Clayton,Foreign Born Entry,35380,-1894,13959
13,2010,Cobb,Foreign Born Entry,102565,,
14,2011,Cobb,Foreign Born Entry,104501,1936,
15,2012,Cobb,Foreign Born Entry,107430,2929,
16,2013,Cobb,Foreign Born Entry,110113,2683,
17,2014,Cobb,Foreign Born Entry,115484,5371,
18,2015,Cobb,Foreign Born Entry,120961,5477,
19,2016,Cobb,Foreign Born Entry,120364,-597,
20,2017,Cobb,Foreign Born Entry,126475,6111,
21,2018,Cobb,Foreign Born Entry,108400,-18075,
22,2019,Cobb,Foreign Born Entry,122296,13896,
23,2020,Cobb,Foreign Born Entry,117879,-4417,
24,2021,Cobb,Foreign Born Entry,110963,-6916,
25,2010,DeKalb,Foreign Born Entry,117020,,
26,2011,DeKalb,Foreign Born Entry,116763,-257,
27,2012,DeKalb,Foreign Born Entry,113382,-3381,
28,2013,DeKalb,Foreign Born Entry,117547,4165,
29,2014,DeKalb,Foreign Born Entry,117472,-75,
30,2015,DeKalb,Foreign Born Entry,124582,7110,
31,2016,DeKalb,Foreign Born Entry,121118,-3464,
32,2017,DeKalb,Foreign Born Entry,121565,447,
33,2018,DeKalb,Foreign Born Entry,130952,9387,
34,2019,DeKalb,Foreign Born Entry,116220,-14732,
35,2020,DeKalb,Foreign Born Entry,120499,4279,
36,2021,DeKalb,Foreign Born Entry,116108,-4391,
37,2010,Fulton,Foreign Born Entry,119547,,
38,2011,Fulton,Foreign Born Entry,114640,-4907,
39,2012,Fulton,Foreign Born Entry,126196,11556,
40,2013,Fulton,Foreign Born Entry,129132,2936,
41,2014,Fulton,Foreign Born Entry,115999,-13133,
42,2015,Fulton,Foreign Born Entry,121823,5824,
43,2016,Fulton,Foreign Born Entry,135052,13229,
44,2017,Fulton,Foreign Born Entry,142718,7666,
45,2018,Fulton,Foreign Born Entry,138537,-4181,
46,2019,Fulton,Foreign Born Entry,136142,-2395,
47,2020,Fulton,Foreign Born Entry,140737,4595,
48,2021,Fulton,Foreign Born Entry,138964,-1773,
49,2010,Gwinnett,Foreign Born Entry,205508,,
50,2011,Gwinnett,Foreign Born Entry,198076,-7432,
51,2012,Gwinnett,Foreign Born Entry,203275,5199,
52,2013,Gwinnett,Foreign Born Entry,207998,4723,
53,2014,Gwinnett,Foreign Born Entry,215989,7991,
54,2015,Gwinnett,Foreign Born Entry,234436,18447,
55,2016,Gwinnett,Foreign Born Entry,225931,-8505,
56,2017,Gwinnett,Foreign Born Entry,232817,6886,
57,2018,Gwinnett,Foreign Born Entry,244856,12039,
58,2019,Gwinnett,Foreign Born Entry,255483,10627,
59,2020,Gwinnett,Foreign Born Entry,234113,-21370,
60,2021,Gwinnett,Foreign Born Entry,263046,28933,
