"","year","county","variable","data"
"1","2013","Cherokee County, Georgia","Households With Internet",76627
"2","2013","Cherokee County, Georgia","Households With a Computer",70916
"3","2013","Cherokee County, Georgia","Households with a Broadband Internet Subscription",66923
"4","2014","Cherokee County, Georgia","Households With Internet",81991
"5","2014","Cherokee County, Georgia","Households With a Computer",77147
"6","2014","Cherokee County, Georgia","Households with a Broadband Internet Subscription",72050
"7","2015","Cherokee County, Georgia","Households With Internet",82664
"8","2015","Cherokee County, Georgia","Households With a Computer",77015
"9","2015","Cherokee County, Georgia","Households with a Broadband Internet Subscription",74309
"10","2016","Cherokee County, Georgia","Households With Internet",84088
"11","2016","Cherokee County, Georgia","Households With a Computer",79575
"12","2016","Cherokee County, Georgia","Households with a Broadband Internet Subscription",78135
"13","2017","Cherokee County, Georgia","Households With Internet",89510
"14","2017","Cherokee County, Georgia","Households With a Computer",86555
"15","2017","Cherokee County, Georgia","Households with a Broadband Internet Subscription",82479
"16","2018","Cherokee County, Georgia","Households With Internet",89974
"17","2018","Cherokee County, Georgia","Households With a Computer",87696
"18","2018","Cherokee County, Georgia","Households with a Broadband Internet Subscription",85240
"19","2019","Cherokee County, Georgia","Households With Internet",93441
"20","2019","Cherokee County, Georgia","Households With a Computer",87520
"21","2019","Cherokee County, Georgia","Households with a Broadband Internet Subscription",84680
"22","2020","Cherokee County, Georgia","Households With Internet",90372
"23","2020","Cherokee County, Georgia","Households With a Computer",86880
"24","2020","Cherokee County, Georgia","Households with a Broadband Internet Subscription",84269
"25","2021","Cherokee County, Georgia","Households With Internet",100023
"26","2021","Cherokee County, Georgia","Households With a Computer",97447
"27","2021","Cherokee County, Georgia","Households with a Broadband Internet Subscription",95287
"28","2013","Clayton County, Georgia","Households With Internet",89106
"29","2013","Clayton County, Georgia","Households With a Computer",77740
"30","2013","Clayton County, Georgia","Households with a Broadband Internet Subscription",62570
"31","2014","Clayton County, Georgia","Households With Internet",88538
"32","2014","Clayton County, Georgia","Households With a Computer",77782
"33","2014","Clayton County, Georgia","Households with a Broadband Internet Subscription",62358
"34","2015","Clayton County, Georgia","Households With Internet",90373
"35","2015","Clayton County, Georgia","Households With a Computer",81547
"36","2015","Clayton County, Georgia","Households with a Broadband Internet Subscription",67485
"37","2016","Clayton County, Georgia","Households With Internet",94346
"38","2016","Clayton County, Georgia","Households With a Computer",88434
"39","2016","Clayton County, Georgia","Households with a Broadband Internet Subscription",76674
"40","2017","Clayton County, Georgia","Households With Internet",94199
"41","2017","Clayton County, Georgia","Households With a Computer",87597
"42","2017","Clayton County, Georgia","Households with a Broadband Internet Subscription",75460
"43","2018","Clayton County, Georgia","Households With Internet",96286
"44","2018","Clayton County, Georgia","Households With a Computer",89596
"45","2018","Clayton County, Georgia","Households with a Broadband Internet Subscription",75307
"46","2019","Clayton County, Georgia","Households With Internet",97030
"47","2019","Clayton County, Georgia","Households With a Computer",91332
"48","2019","Clayton County, Georgia","Households with a Broadband Internet Subscription",83811
"49","2020","Clayton County, Georgia","Households With Internet",96826
"50","2020","Clayton County, Georgia","Households With a Computer",90578
"51","2020","Clayton County, Georgia","Households with a Broadband Internet Subscription",80515
"52","2021","Clayton County, Georgia","Households With Internet",106249
"53","2021","Clayton County, Georgia","Households With a Computer",104368
"54","2021","Clayton County, Georgia","Households with a Broadband Internet Subscription",98306
"55","2013","Cobb County, Georgia","Households With Internet",266851
"56","2013","Cobb County, Georgia","Households With a Computer",242064
"57","2013","Cobb County, Georgia","Households with a Broadband Internet Subscription",217964
"58","2014","Cobb County, Georgia","Households With Internet",271686
"59","2014","Cobb County, Georgia","Households With a Computer",254708
"60","2014","Cobb County, Georgia","Households with a Broadband Internet Subscription",233356
"61","2015","Cobb County, Georgia","Households With Internet",274468
"62","2015","Cobb County, Georgia","Households With a Computer",259451
"63","2015","Cobb County, Georgia","Households with a Broadband Internet Subscription",238023
"64","2016","Cobb County, Georgia","Households With Internet",277949
"65","2016","Cobb County, Georgia","Households With a Computer",265254
"66","2016","Cobb County, Georgia","Households with a Broadband Internet Subscription",250640
"67","2017","Cobb County, Georgia","Households With Internet",277609
"68","2017","Cobb County, Georgia","Households With a Computer",268883
"69","2017","Cobb County, Georgia","Households with a Broadband Internet Subscription",255266
"70","2018","Cobb County, Georgia","Households With Internet",283094
"71","2018","Cobb County, Georgia","Households With a Computer",276380
"72","2018","Cobb County, Georgia","Households with a Broadband Internet Subscription",264598
"73","2019","Cobb County, Georgia","Households With Internet",286952
"74","2019","Cobb County, Georgia","Households With a Computer",281513
"75","2019","Cobb County, Georgia","Households with a Broadband Internet Subscription",272399
"76","2020","Cobb County, Georgia","Households With Internet",283359
"77","2020","Cobb County, Georgia","Households With a Computer",275518
"78","2020","Cobb County, Georgia","Households with a Broadband Internet Subscription",264449
"79","2021","Cobb County, Georgia","Households With Internet",292841
"80","2021","Cobb County, Georgia","Households With a Computer",287803
"81","2021","Cobb County, Georgia","Households with a Broadband Internet Subscription",281569
"82","2013","DeKalb County, Georgia","Households With Internet",268239
"83","2013","DeKalb County, Georgia","Households With a Computer",238489
"84","2013","DeKalb County, Georgia","Households with a Broadband Internet Subscription",206024
"85","2014","DeKalb County, Georgia","Households With Internet",266307
"86","2014","DeKalb County, Georgia","Households With a Computer",238666
"87","2014","DeKalb County, Georgia","Households with a Broadband Internet Subscription",206655
"88","2015","DeKalb County, Georgia","Households With Internet",276631
"89","2015","DeKalb County, Georgia","Households With a Computer",254345
"90","2015","DeKalb County, Georgia","Households with a Broadband Internet Subscription",214620
"91","2016","DeKalb County, Georgia","Households With Internet",281356
"92","2016","DeKalb County, Georgia","Households With a Computer",262790
"93","2016","DeKalb County, Georgia","Households with a Broadband Internet Subscription",236165
"94","2017","DeKalb County, Georgia","Households With Internet",278249
"95","2017","DeKalb County, Georgia","Households With a Computer",261390
"96","2017","DeKalb County, Georgia","Households with a Broadband Internet Subscription",246041
"97","2018","DeKalb County, Georgia","Households With Internet",287001
"98","2018","DeKalb County, Georgia","Households With a Computer",269348
"99","2018","DeKalb County, Georgia","Households with a Broadband Internet Subscription",251490
"100","2019","DeKalb County, Georgia","Households With Internet",289829
"101","2019","DeKalb County, Georgia","Households With a Computer",272285
"102","2019","DeKalb County, Georgia","Households with a Broadband Internet Subscription",255990
"103","2020","DeKalb County, Georgia","Households With Internet",283799
"104","2020","DeKalb County, Georgia","Households With a Computer",266747
"105","2020","DeKalb County, Georgia","Households with a Broadband Internet Subscription",249479
"106","2021","DeKalb County, Georgia","Households With Internet",273981
"107","2021","DeKalb County, Georgia","Households With a Computer",264769
"108","2021","DeKalb County, Georgia","Households with a Broadband Internet Subscription",255792
"109","2013","Douglas County, Georgia","Households With Internet",46770
"110","2013","Douglas County, Georgia","Households With a Computer",42253
"111","2013","Douglas County, Georgia","Households with a Broadband Internet Subscription",35965
"112","2014","Douglas County, Georgia","Households With Internet",47687
"113","2014","Douglas County, Georgia","Households With a Computer",43082
"114","2014","Douglas County, Georgia","Households with a Broadband Internet Subscription",37587
"115","2015","Douglas County, Georgia","Households With Internet",48493
"116","2015","Douglas County, Georgia","Households With a Computer",44854
