"","year","county","variable","data"
"1","2010","Cherokee","Total Mobility",203663
"2","2010","Cherokee","Moved from Different County",9989
"3","2010","Cherokee","Moved from Different State",4978
"4","2011","Cherokee","Total Mobility",208506
"5","2011","Cherokee","Moved from Different County",9750
"6","2011","Cherokee","Moved from Different State",4450
"7","2012","Cherokee","Total Mobility",211947
"8","2012","Cherokee","Moved from Different County",10451
"9","2012","Cherokee","Moved from Different State",3633
"10","2013","Cherokee","Total Mobility",215316
"11","2013","Cherokee","Moved from Different County",9335
"12","2013","Cherokee","Moved from Different State",4403
"13","2014","Cherokee","Total Mobility",219192
"14","2014","Cherokee","Moved from Different County",9641
"15","2014","Cherokee","Moved from Different State",5586
"16","2015","Cherokee","Total Mobility",222983
"17","2015","Cherokee","Moved from Different County",9866
"18","2015","Cherokee","Moved from Different State",6106
"19","2016","Cherokee","Total Mobility",227546
"20","2016","Cherokee","Moved from Different County",10047
"21","2016","Cherokee","Moved from Different State",5847
"22","2017","Cherokee","Total Mobility",232989
"23","2017","Cherokee","Moved from Different County",10465
"24","2017","Cherokee","Moved from Different State",5806
"25","2018","Cherokee","Total Mobility",238772
"26","2018","Cherokee","Moved from Different County",10449
"27","2018","Cherokee","Moved from Different State",4969
"28","2019","Cherokee","Total Mobility",244461
"29","2019","Cherokee","Moved from Different County",11049
"30","2019","Cherokee","Moved from Different State",4346
"31","2020","Cherokee","Total Mobility",250780
"32","2020","Cherokee","Moved from Different County",11783
"33","2020","Cherokee","Moved from Different State",5532
"34","2021","Cherokee","Total Mobility",259537
"35","2021","Cherokee","Moved from Different County",12230
"36","2021","Cherokee","Moved from Different State",6573
"37","2010","Clayton","Total Mobility",256231
"38","2010","Clayton","Moved from Different County",17983
"39","2010","Clayton","Moved from Different State",8923
"40","2011","Clayton","Total Mobility",256644
"41","2011","Clayton","Moved from Different County",18060
"42","2011","Clayton","Moved from Different State",8090
"43","2012","Clayton","Total Mobility",258101
"44","2012","Clayton","Moved from Different County",18020
"45","2012","Clayton","Moved from Different State",8206
"46","2013","Clayton","Total Mobility",258645
"47","2013","Clayton","Moved from Different County",19068
"48","2013","Clayton","Moved from Different State",7835
"49","2014","Clayton","Total Mobility",260446
"50","2014","Clayton","Moved from Different County",18547
"51","2014","Clayton","Moved from Different State",7706
"52","2015","Clayton","Total Mobility",263288
"53","2015","Clayton","Moved from Different County",18748
"54","2015","Clayton","Moved from Different State",7810
"55","2016","Clayton","Total Mobility",266677
"56","2016","Clayton","Moved from Different County",20231
"57","2016","Clayton","Moved from Different State",8298
"58","2017","Clayton","Total Mobility",270151
"59","2017","Clayton","Moved from Different County",20035
"60","2017","Clayton","Moved from Different State",7878
"61","2018","Clayton","Total Mobility",274249
"62","2018","Clayton","Moved from Different County",19579
"63","2018","Clayton","Moved from Different State",7189
"64","2019","Clayton","Total Mobility",279153
"65","2019","Clayton","Moved from Different County",19954
"66","2019","Clayton","Moved from Different State",7586
"67","2020","Clayton","Total Mobility",283251
"68","2020","Clayton","Moved from Different County",18816
"69","2020","Clayton","Moved from Different State",6368
"70","2021","Clayton","Total Mobility",290145
