county,totalOut,totalIn,nonmigrants,totalOutToMetro,totalInFromMetro,prePop,postPop,totalOutToOutside,totalInFromOutside,preYear,postYear
cherokee county,7673,12098,94692,3169,6389,102365,106790,4504,5709,1995,1996
clayton county,20084,20786,143011,12248,11305,163095,163797,7836,9481,1995,1996
cobb county,42515,47141,383880,18571,16389,426395,431021,23944,30752,1995,1996
dekalb county,53772,50831,418029,33613,24364,471801,468860,20159,26467,1995,1996
douglas county,5584,6904,58723,2172,3500,64307,65627,3412,3404,1995,1996
fayette county,5188,7492,62026,1877,2972,67214,69518,3311,4520,1995,1996
forsyth county,4124,9662,50741,1576,5230,54865,60403,2548,4432,1995,1996
fulton county,56240,60853,427084,35032,28243,483324,487937,21208,32610,1995,1996
gwinnett county,34232,44352,346274,14516,19564,380506,390626,19716,24788,1995,1996
henry county,4906,9658,67850,2199,6170,72756,77508,2707,3488,1995,1996
rockdale county,5113,5217,46643,1442,2289,51756,51860,3671,2928,1995,1996
cherokee county,8557,12333,100165,3502,6416,108722,112498,5055,5917,1996,1997
clayton county,21198,21110,145638,12969,11840,166836,166748,8229,9270,1996,1997
cobb county,44027,49579,392407,18304,17246,436434,441986,25723,32333,1996,1997
dekalb county,55644,50633,425246,34817,24232,480890,475879,20827,26401,1996,1997
douglas county,5868,6849,60574,2207,3555,66442,67423,3661,3294,1996,1997
fayette county,5601,7961,63753,1803,3122,69354,71714,3798,4839,1996,1997
forsyth county,4553,9935,56675,1527,5146,61228,66610,3026,4789,1996,1997
fulton county,60903,61062,435896,37070,28161,496799,496958,23833,32901,1996,1997
gwinnett county,33812,46892,359558,13306,20598,393370,406450,20506,26294,1996,1997
henry county,5472,10241,69052,2445,6577,74524,79293,3027,3664,1996,1997
rockdale county,4679,5553,47424,1394,2451,52103,52977,3285,3102,1996,1997
cherokee county,8548,13593,101931,3564,7534,110479,115524,4984,6059,1997,1998
clayton county,21258,24416,144130,13455,14798,165388,168546,7803,9618,1997,1998
cobb county,45312,51030,398834,19563,17772,444146,449864,25749,33258,1997,1998
dekalb county,60528,52317,429409,39269,25787,489937,481726,21259,26530,1997,1998
douglas county,5863,8107,62302,2279,4092,68165,70409,3584,4015,1997,1998
fayette county,5807,8359,64266,1939,3288,70073,72625,3868,5071,1997,1998
forsyth county,3991,15105,56566,1425,9320,60557,71671,2566,5785,1997,1998
fulton county,67970,68248,453850,43166,31528,521820,522098,24804,36720,1997,1998
gwinnett county,39608,48288,379695,16242,20989,419303,427983,23366,27299,1997,1998
henry county,6433,12132,74038,3004,7908,80471,86170,3429,4224,1997,1998
rockdale county,5493,5737,47370,1669,2559,52863,53107,3824,3178,1997,1998
cherokee county,9312,14381,108447,3974,7934,117759,122828,5338,6447,1998,1999
clayton county,22482,23859,150586,14335,13664,173068,174445,8147,10195,1998,1999
cobb county,46736,53842,410061,19482,18461,456797,463903,27254,35381,1998,1999
dekalb county,58560,53526,431356,37856,26431,489916,484882,20704,27095,1998,1999
douglas county,6908,7691,63756,2572,3692,70664,71447,4336,3999,1998,1999
fayette county,6167,8860,67443,2105,3414,73610,76303,4062,5446,1998,1999
forsyth county,5954,14158,69045,2115,8179,74999,83203,3839,5979,1998,1999
fulton county,69893,68412,463261,44172,31912,533154,531673,25721,36500,1998,1999
gwinnett county,39927,52023,394672,16085,22904,434599,446695,23842,29119,1998,1999
