"","county","totalOut","totalIn","preYear","prePop","postPop"
"1","fulton county",76847,79537,2010,690689,693379
"2","fulton county",98827,97688,2011,869709,868570
"3","fulton county",96657,91432,2012,767822,762597
"4","fulton county",85489,82473,2013,755760,752744
"5","fulton county",64893,66836,2014,752658,754601
"6","fulton county",81458,83422,2015,758885,760849
"7","fulton county",104106,102803,2016,800058,798755
"8","fulton county",82374,83833,2017,799536,800995
"9","fulton county",80044,79534,2018,813939,813429
"10","fulton county",88260,83484,2019,828845,824069
"11","fulton county",87780,81827,2020,786374,780421
